 TIME                    	Twb                      	Tcw                      	Tchw                     	Twind                    	Td                       	Gcw                      	Gchw                     	Qfuhe                    	PUE                      	
 8050.83    -5.88    16.80    18.84    24.87    11.09     1.00     1.00    82.46     1.28
 8051.00    -5.74    16.86    18.90    24.91    11.05     1.00     1.00    82.17     1.28
 8051.17    -5.59    16.92    18.96    24.95    11.02     1.00     1.00    81.91     1.29
 8051.33    -5.42    16.99    19.02    24.99    10.99     1.00     1.00    81.68     1.29
 8051.50    -5.25    17.05    19.08    25.04    10.96     1.00     1.00    81.48     1.29
 8051.67    -5.09    17.12    19.14    25.09    10.93     1.00     1.00    81.30     1.29
 8051.83    -4.93    17.19    19.21    25.15    10.91     1.00     1.00    81.14     1.29
 8052.00    -4.77    17.26    19.27    25.20    10.89     1.00     1.00    81.00     1.29
 8052.17    -4.61    17.33    19.34    25.26    10.87     1.00     1.00    80.88     1.29
 8052.33    -4.10    17.42    19.43    25.34    10.85     1.00     1.00    80.77     1.29
 8052.50    -3.90    17.53    19.53    25.43    10.82     1.00     1.00    80.68     1.29
 8052.67    -3.68    17.63    19.63    25.52    10.81     1.00     1.00    80.59     1.29
 8052.83    -3.48    17.73    19.73    25.62    10.80     1.00     1.00    80.52     1.29
 8053.00    -3.32    17.83    19.82    25.71    10.79     1.00     1.00    80.46     1.29
 8053.17    -3.17    17.92    19.91    25.79    10.79     1.00     1.00    80.41     1.29
 8053.33    -3.02    18.00    19.99    25.87    10.78     1.00     1.00    80.36     1.29
 8053.50    -2.91    18.07    20.06    25.95    10.78     1.00     1.00    80.32     1.29
 8053.67    -2.82    18.14    20.13    26.01    10.78     1.00     1.00    80.28     1.29
 8053.83    -2.76    18.19    20.20    26.08    10.77     1.00     1.00    80.25     1.29
 8054.00    -2.71    18.24    20.24    26.12    10.78     1.00     1.00    80.22     1.29
 8054.17    -2.66    18.27    20.28    26.16    10.78     1.00     1.00    80.20     1.29
 8054.33    -2.63    18.30    20.31    26.20    10.78     1.00     1.00    80.18     1.29
 8054.50    -2.61    18.33    20.34    26.22    10.78     1.00     1.00    80.16     1.29
 8054.67    -2.60    18.35    20.36    26.24    10.78     1.00     1.00    80.15     1.29
 8054.83    -2.59    18.36    20.37    26.26    10.78     1.00     1.00    80.13     1.29
 8055.00    -2.60    18.37    20.38    26.27    10.78     1.00     1.00    80.12     1.29
 8055.17    -2.63    18.38    20.39    26.28    10.78     1.00     1.00    80.11     1.29
 8055.33    -2.66    18.37    20.39    26.28    10.79     1.00     1.00    80.10     1.29
 8055.50    -2.71    18.37    20.37    26.26    10.79     1.00     1.00    80.09     1.29
 8055.67    -2.78    18.35    20.35    26.25    10.79     1.00     1.00    80.09     1.29
 8055.83    -2.86    18.33    20.33    26.23    10.80     1.00     1.00    80.08     1.29
 8056.00    -2.95    18.30    20.30    26.20    10.80     1.00     1.00    80.07     1.29
 8056.17    -3.08    18.27    20.27    26.17    10.80     1.00     1.00    80.07     1.29
 8056.33    -3.27    18.22    20.23    26.13    10.81     1.00     1.00    80.07     1.29
 8056.50    -3.51    18.16    20.17    26.07    10.81     1.00     1.00    80.06     1.29
 8056.67    -3.74    18.09    20.09    26.00    10.82     1.00     1.00    80.06     1.29
 8056.83    -3.95    18.01    20.02    25.93    10.83     1.00     1.00    80.06     1.29
 8057.00    -4.42    17.91    19.92    25.84    10.83     1.00     1.00    80.06     1.29
 8057.17    -4.47    17.82    19.83    25.74    10.83     1.00     1.00    80.05     1.29
 8057.33    -4.50    17.75    19.75    25.66    10.83     1.00     1.00    80.05     1.29
 8057.50    -4.53    17.69    19.70    25.60    10.82     1.00     1.00    80.05     1.29
 8057.67    -4.56    17.65    19.65    25.55    10.81     1.00     1.00    80.05     1.29
 8057.83    -4.59    17.61    19.62    25.51    10.81     1.00     1.00    80.05     1.29
 8058.00    -4.62    17.59    19.59    25.48    10.80     1.00     1.00    80.05     1.29
 8058.17    -4.65    17.56    19.56    25.45    10.80     1.00     1.00    80.05     1.29
 8058.33    -4.67    17.54    19.54    25.43    10.80     1.00     1.00    80.05     1.29
 8058.50    -4.69    17.52    19.52    25.41    10.80     1.00     1.00    80.05     1.29
 8058.67    -4.71    17.50    19.50    25.39    10.80     1.00     1.00    80.05     1.29
 8058.83    -4.73    17.49    19.49    25.38    10.80     1.00     1.00    80.05     1.29
 8059.00    -4.75    17.47    19.47    25.36    10.80     1.00     1.00    80.06     1.29
 8059.17    -4.77    17.46    19.46    25.35    10.80     1.00     1.00    80.06     1.29
 8059.33    -4.81    17.44    19.44    25.33    10.80     1.00     1.00    80.06     1.29
 8059.50    -4.84    17.43    19.43    25.32    10.80     1.00     1.00    80.06     1.29
 8059.67    -4.89    17.41    19.41    25.30    10.80     1.00     1.00    80.07     1.29
 8059.83    -4.93    17.39    19.39    25.28    10.80     1.00     1.00    80.07     1.29
 8060.00    -4.96    17.38    19.38    25.27    10.80     1.00     1.00    80.07     1.29
 8060.17    -4.99    17.36    19.36    25.25    10.80     1.00     1.00    80.08     1.29
 8060.33    -5.02    17.34    19.34    25.23    10.80     1.00     1.00    80.09     1.29
 8060.50    -5.04    17.32    19.32    25.22    10.80     1.00     1.00    80.09     1.29
 8060.67    -5.06    17.31    19.31    25.20    10.80     1.00     1.00    80.10     1.29
 8060.83    -5.09    17.30    19.29    25.19    10.80     1.00     1.00    80.11     1.29
 8061.00    -5.11    17.28    19.28    25.17    10.80     1.00     1.00    80.12     1.29
 8061.17    -5.16    17.27    19.27    25.16    10.81     1.00     1.00    80.13     1.29
 8061.33    -5.22    17.25    19.25    25.14    10.81     1.00     1.00    80.15     1.29
 8061.50    -5.28    17.23    19.23    25.13    10.81     1.00     1.00    80.16     1.29
 8061.67    -5.34    17.21    19.21    25.11    10.82     1.00     1.00    80.18     1.29
 8061.83    -5.40    17.18    19.18    25.08    10.82     1.00     1.00    80.20     1.29
 8062.00    -5.46    17.16    19.16    25.06    10.82     1.00     1.00    80.22     1.29
 8062.17    -5.50    17.13    19.14    25.04    10.83     1.00     1.00    80.25     1.29
 8062.33    -5.55    17.11    19.12    25.02    10.83     1.00     1.00    80.28     1.29
 8062.50    -5.60    17.09    19.09    25.00    10.83     1.00     1.00    80.32     1.29
 8062.67    -5.64    17.07    19.07    24.98    10.84     1.00     1.00    80.36     1.29
 8062.83    -5.69    17.05    19.05    24.96    10.84     1.00     1.00    80.41     1.29
 8063.00    -5.73    17.03    19.03    24.95    10.85     1.00     1.00    80.46     1.29
 8063.17    -5.77    17.01    19.02    24.93    10.85     1.00     1.00    80.52     1.29
 8063.33    -5.81    16.99    19.00    24.92    10.86     1.00     1.00    80.59     1.29
 8063.50    -5.84    16.97    18.98    24.90    10.87     1.00     1.00    80.68     1.29
 8063.67    -5.87    16.95    18.96    24.89    10.88     1.00     1.00    80.77     1.29
 8063.83    -5.90    16.94    18.95    24.88    10.89     1.00     1.00    80.88     1.29
 8064.00    -5.92    16.92    18.94    24.88    10.91     1.00     1.00    81.00     1.29
 8064.17    -5.95    16.91    18.93    24.87    10.92     1.00     1.00    81.14     1.29
 8064.33    -5.99    16.89    18.91    24.87    10.94     1.00     1.00    81.30     1.29
 8064.50    -6.03    16.88    18.90    24.87    10.96     1.00     1.00    81.48     1.29
 8064.67    -6.05    16.87    18.90    24.87    10.98     1.00     1.00    81.68     1.29
 8064.83    -6.08    16.86    18.89    24.88    11.01     1.00     1.00    81.91     1.29
 8065.00    -6.10    16.85    18.89    24.89    11.04     1.00     1.00    82.17     1.28
 8065.17    -6.12    16.84    18.88    24.90    11.07     1.00     1.00    82.46     1.28
 8065.33    -6.13    16.83    18.88    24.92    11.10     1.00     1.00    82.78     1.28
 8065.50    -6.14    16.83    18.89    24.94    11.14     1.00     1.00    83.14     1.28
 8065.67    -6.14    16.82    18.89    24.97    11.19     1.00     1.00    83.54     1.28
 8065.83    -6.15    16.82    18.90    25.00    11.24     1.00     1.00    83.98     1.28
 8066.00    -6.15    16.82    18.91    25.04    11.29     1.00     1.00    84.47     1.28
 8066.17    -6.15    16.82    18.92    25.08    11.35     1.00     1.00    85.00     1.27
 8066.33    -6.14    16.82    18.93    25.12    11.42     1.00     1.00    85.57     1.27
 8066.50    -6.13    16.83    18.95    25.18    11.49     1.00     1.00    86.19     1.27
 8066.67    -6.12    16.83    18.97    25.23    11.57     1.00     1.00    86.85     1.27
 8066.83    -6.11    16.84    18.99    25.30    11.65     1.00     1.00    87.56     1.27
 8067.00    -6.10    16.85    19.01    25.36    11.74     1.00     1.00    88.31     1.26
 8067.17    -6.11    16.85    19.04    25.44    11.83     1.00     1.00    89.10     1.26
 8067.33    -6.12    16.86    19.07    25.51    11.93     1.00     1.00    89.92     1.26
 8067.50    -6.14    16.87    19.09    25.58    12.03     1.00     1.00    90.76     1.26
 8067.67    -6.16    16.87    19.11    25.66    12.14     1.00     1.00    91.63     1.25
 8067.83    -6.18    16.88    19.14    25.74    12.24     1.00     1.00    92.50     1.25
 8068.00    -6.19    16.88    19.16    25.82    12.35     1.00     1.00    93.38     1.25
 8068.17    -6.20    16.89    19.19    25.90    12.46     1.00     1.00    94.25     1.25
 8068.33    -6.20    16.89    19.21    25.97    12.57     1.00     1.00    95.10     1.25
 8068.50    -6.21    16.90    19.24    26.05    12.67     1.00     1.00    95.92     1.24
 8068.67    -6.22    16.90    19.26    26.12    12.77     1.00     1.00    96.69     1.24
 8068.83    -6.23    16.91    19.28    26.19    12.87     1.00     1.00    97.41     1.24
 8069.00    -6.24    16.91    19.30    26.26    12.95     1.00     1.00    98.05     1.24
 8069.17    -6.23    16.91    19.32    26.31    13.03     1.00     1.00    98.63     1.24
 8069.33    -6.23    16.92    19.34    26.37    13.10     1.00     1.00    99.11     1.24
